fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5
8.9,0.22,0.48,1.8,0.077,29,60,0.9968,3.39,0.53,9.4,6
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,6
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6
8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5
9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5
8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6
8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5
7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5
7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4
6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5
7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5
7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5
8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5
7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5
7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,5
8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
7.4,0.67,0.12,1.6,0.186,5,21,0.996,3.39,0.54,9.5,5
7.6,0.62,0.32,2.2,0.082,7,54,0.9966,3.36,0.52,9.4,5
10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6
7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5
10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5
8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
6.9,0.765,0.02,2.3,0.063,35,63,0.9975,3.57,0.78,9.9,5
9.1,0.28,0.48,1.8,0.067,26,46,0.9967,3.32,1.04,10.6,6
12.5,0.46,0.49,4.5,0.07,26,49,0.9981,3.05,0.57,9.6,4
10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6
10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,7
9.1,0.52,0.33,1.3,0.07,9,30,0.9978,3.24,0.6,9.3,5
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,8
11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
6.8,0.56,0.03,1.7,0.084,18,35,0.9968,3.44,0.63,10,6
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,8
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,6
11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,6
9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5
9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5
9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,6
8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
10.7,0.35,0.53,2.6,0.07,5,16,0.9972,3.15,0.65,11,8
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,7
11.2,0.67,0.55,2.3,0.084,6,13,1,3.17,0.71,9.5,6
8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,5
10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,5
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6
9.5,0.46,0.24,2.7,0.092,14,44,0.998,3.12,0.74,10,6
10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,5
7.6,0.29,0.49,2.7,0.092,25,60,0.9971,3.31,0.61,10.1,6
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,4
5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,8
9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,6
9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,5
8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,6
12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,6
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,6
8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,5
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,5
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,6
8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,5
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,5
8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5
9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,5
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,4
8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,5
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5
12,0.5,0.59,1.4,0.073,23,42,0.998,2.92,0.68,10.5,7
7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,6
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,6
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,5
11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,6
9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5
8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,5
7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,5
9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5
8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5
7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5
7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,5
7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6
8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,5
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,6
8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,5
7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,5
7.2,1,0,3,0.102,7,16,0.99586,3.43,0.46,10,5
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,5
7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5
8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,5
10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,6
8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,7
7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,6
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,5
10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,6
4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,7
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,5
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3
11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,7
9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,6
7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,5
7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5
10.4,0.38,0.46,2.1,0.104,6,10,0.99664,3.12,0.65,11.8,7
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,4
7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
8.3,0.31,0.39,2.4,0.078,17,43,0.99444,3.31,0.77,12.5,7
7.4,0.635,0.1,2.4,0.08,16,33,0.99736,3.58,0.69,10.8,7
9.2,0.58,0.2,3,0.081,15,115,0.998,3.23,0.59,9.5,5
7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5
9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6
8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,6
9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,5
8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,7
9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6
8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,6
9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,7
10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7
8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,7
8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5
6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,5
7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,6
9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,5
6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,6
8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,6
9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,7
9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,5
8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,7
7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,6
7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7
8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,7
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,6
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,6
8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,5
5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5
8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,6
11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,6
7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,5
8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,6
9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,7
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,7
7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,6
9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,4
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,6
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,6
7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,6
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5
8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6
8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,5
6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,6
5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7
6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,6
8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5
7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,6
9.8,0.39,0.43,1.65,0.068,5,11,0.99478,3.19,0.46,11.4,5
10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,6
8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,4
7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5
7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,7
6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,6
7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5
9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,5
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,4
6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6
7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,6
7.5,0.58,0.14,2.2,0.077,27,60,0.9963,3.28,0.59,9.8,5
7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,5
