fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5
6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,6
6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,4
5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,6
7.1,0.16,0.44,2.5,0.068,17,31,0.99328,3.35,0.54,12.4,6
7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,5
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4
7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,5
7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6
7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6
9.9,0.44,0.46,2.2,0.091,10,41,0.99638,3.18,0.69,11.9,6
9.1,0.34,0.42,1.8,0.058,9,18,0.99392,3.18,0.55,11.4,5
9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7
8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,6
9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,5
6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,6
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,6
7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,5
6.1,0.34,0.25,1.8,0.084,4,28,0.99464,3.36,0.44,10.1,5
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,4
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,5
7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,6
8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,5
6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5
8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,5
7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,8
8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,6
6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6
7.5,0.4,0.18,1.6,0.079,24,58,0.9965,3.34,0.58,9.4,5
7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,6
6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
6.9,0.58,0.2,1.75,0.058,8,22,0.99322,3.38,0.49,11.7,5
7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6
7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
7.8,0.32,0.44,2.7,0.104,8,17,0.99732,3.33,0.78,11,7
7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7
6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4
7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,7
9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5
6.2,0.65,0.06,1.6,0.05,6,18,0.99348,3.57,0.54,11.95,5
7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5
7.1,0.27,0.6,2.1,0.074,17,25,0.99814,3.38,0.72,10.6,6
7.9,0.18,0.4,1.8,0.062,7,20,0.9941,3.28,0.7,11.1,5
6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6
6.6,0.44,0.09,2.2,0.063,9,18,0.99444,3.42,0.69,11.3,6
8,0.39,0.3,1.9,0.074,32,84,0.99717,3.39,0.61,9,5
5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,6
8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,7
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6
7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,7
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5
6.7,0.16,0.64,2.1,0.059,24,52,0.99494,3.34,0.71,11.2,6
6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6
7.5,0.52,0.4,2.2,0.06,12,20,0.99474,3.26,0.64,11.8,6
6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
6.2,0.46,0.29,2.1,0.074,32,98,0.99578,3.33,0.62,9.8,5
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5
6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6
7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5
5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7
6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7
5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6
7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5
6.4,0.595,0.14,5.2,0.058,15,97,0.9951,3.38,0.36,9,4
6.3,0.34,0.33,4.6,0.034,19,80,0.9917,3.38,0.58,12,7
6.9,0.25,0.3,4.1,0.054,23,116,0.994,2.99,0.38,9.4,6
8.2,0.23,0.4,7.5,0.049,12,76,0.9966,3.06,0.84,9.7,6
7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4
6,0.67,0.07,1.2,0.06,9,108,0.9931,3.11,0.35,8.7,4
7.1,0.34,0.15,1.2,0.053,61,183,0.9936,3.09,0.43,9.2,5
6.8,0.29,0.56,11.9,0.043,66,230,0.9972,3.02,0.63,9.3,5
5.9,0.3,0.23,4.2,0.038,42,119,0.9924,3.15,0.5,11,5
6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,5
6.1,0.4,0.31,0.9,0.048,23,170,0.993,3.22,0.77,9.5,6
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11,5
6.3,0.495,0.22,1.8,0.046,31,140,0.9929,3.39,0.54,10.4,6
7.1,0.24,0.41,17.8,0.046,39,145,0.9998,3.32,0.39,8.7,5
8.3,0.28,0.4,7.8,0.041,38,194,0.9976,3.34,0.51,9.6,6
7.2,0.23,0.38,14.3,0.058,55,194,0.9979,3.09,0.44,9,6
6.9,0.4,0.56,11.2,0.043,40,142,0.9975,3.14,0.46,8.7,5
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
6.4,0.23,0.39,1.8,0.032,23,118,0.9912,3.32,0.5,11.8,6
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6
5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6
6.9,0.32,0.26,8.3,0.053,32,180,0.9965,3.25,0.51,9.2,6
7.3,0.32,0.25,7.2,0.056,47,180,0.9961,3.08,0.47,8.8,5
5.9,0.15,0.31,5.8,0.041,53,155,0.9945,3.52,0.46,10.5,6
7.4,0.28,0.42,19.8,0.066,53,195,1,2.96,0.44,9.1,5
6.2,0.28,0.22,7.3,0.041,26,157,0.9957,3.44,0.64,9.8,7
8.3,0.39,0.7,10.6,0.045,33,169,0.9976,3.09,0.57,9.4,5
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6
8.3,0.41,0.51,2,0.046,11,207,0.993,3.02,0.55,11.4,5
6.3,0.23,0.33,1.5,0.036,15,105,0.991,3.32,0.42,11.2,6
5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6
5.9,0.26,0.4,1.3,0.047,12,139,0.9945,3.45,0.53,10.4,5
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6
7.8,0.18,0.46,13.6,0.052,38,118,0.998,3.15,0.5,10,6
6.3,0.12,0.36,2.1,0.044,47,146,0.9914,3.27,0.74,11.4,7
7.3,0.33,0.4,6.85,0.038,32,138,0.992,3.03,0.3,11.9,7
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
7.3,0.22,0.37,14.3,0.063,48,191,0.9978,2.89,0.38,9,6
6,0.18,0.27,1.5,0.089,40,143,0.9923,3.49,0.62,10.8,6
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
7.7,0.29,0.48,2.3,0.049,36,178,0.9931,3.17,0.64,10.6,6
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7
5.7,0.32,0.5,2.6,0.049,17,155,0.9927,3.22,0.64,10,6
7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,6
6.3,0.39,0.35,5.9,0.04,82.5,260,0.9941,3.12,0.66,10.1,5
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6
6.8,0.37,0.51,11.8,0.044,62,163,0.9976,3.19,0.44,8.8,5
7.2,0.19,0.39,1.2,0.036,32,85,0.9918,3.16,0.5,10.5,5
7.4,0.21,0.27,1.2,0.041,27,99,0.9927,3.19,0.33,9.8,6
7,0.21,0.28,8.7,0.045,37,222,0.9954,3.25,0.54,10.4,6
7.4,0.155,0.34,2.3,0.045,73.5,214,0.9934,3.18,0.61,9.9,7
6.7,0.22,0.37,1.6,0.028,24,102,0.9913,3.29,0.59,11.6,7
6,0.37,0.32,1,0.053,31,218.5,0.9924,3.29,0.72,9.8,6
6.1,0.43,0.35,9.1,0.059,83,249,0.9971,3.37,0.5,8.5,5
6.8,0.32,0.21,2.2,0.044,15,68,0.9932,3.17,0.39,9.4,6
6.6,0.24,0.29,2,0.023,19,86,0.99,3.25,0.45,12.5,6
7.1,0.55,0.13,1.7,0.073,21,165,0.994,2.97,0.58,9.2,6
6.7,0.47,0.34,8.9,0.043,31,172,0.9964,3.22,0.6,9.2,5
5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5
7,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6
5.7,0.335,0.34,1,0.04,13,174,0.992,3.27,0.66,10,5
6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,6
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,6
7.4,0.36,0.33,1.4,0.025,27,55,0.9915,3.21,0.33,11.2,6
7.8,0.28,0.32,9,0.036,34,115,0.9952,3.17,0.39,10.3,7
5.9,0.13,0.28,1.9,0.05,20,78,0.9918,3.43,0.64,10.8,6
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
7.4,0.25,0.36,13.2,0.067,53,178,0.9976,3.01,0.48,9,6
6.1,0.24,0.3,1.5,0.045,22,61,0.992,3.31,0.54,10.4,5
5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6
6.3,0.26,0.24,7.2,0.039,38,172,0.9958,3.49,0.64,9.7,6
7.2,0.46,0.65,10.4,0.05,76,192,0.9976,3.16,0.42,8.7,5
8.4,0.35,0.71,12.2,0.046,22,160,0.9982,2.98,0.65,9.4,5
7.2,0.34,0.44,4.2,0.047,51,144,0.991,3.01,0.76,12.3,6
6.5,0.28,0.29,2.7,0.038,26,107,0.9912,3.32,0.41,11.6,7
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
7.4,0.24,0.22,10.7,0.042,26,81,0.9954,2.86,0.36,9.7,6
6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,7
6.4,0.475,0.06,1,0.03,9,131,0.9904,2.97,0.29,10.8,5
6.3,0.27,0.38,0.9,0.051,7,140,0.9926,3.45,0.5,10.5,7
6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,5
6.3,0.26,0.49,1.5,0.052,34,134,0.9924,2.99,0.61,9.8,6
7.5,0.23,0.68,11,0.047,37,133,0.9978,2.99,0.38,8.8,5
7.7,0.24,0.27,1.8,0.051,52,190,0.9928,3.23,0.5,10.8,6
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9,5
7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5
7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,4
6,0.29,0.2,12.6,0.045,45,187,0.9972,3.33,0.42,9.5,5
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5
6,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10,5
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
7.3,0.34,0.21,3.2,0.05,14,136,0.9936,3.25,0.44,10.2,5
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5
6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,7
7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4
5.9,0.25,0.25,11.3,0.052,30,165,0.997,3.24,0.44,9.5,6
6.4,0.27,0.32,4.5,0.24,61,174,0.9948,3.12,0.48,9.4,5
6.8,0.67,0.3,13,0.29,22,193,0.9984,3.08,0.67,9,4
6.1,0.36,0.16,6.4,0.037,36,198,0.9944,3.17,0.62,9.9,6
7.5,0.31,0.51,14.8,0.039,62,204,0.9982,3.06,0.6,9.5,5
6.6,0.38,0.18,1.2,0.042,20,84,0.9927,3.22,0.45,10.1,4
5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6
6.2,0.31,0.21,6.3,0.041,50,218,0.9941,3.15,0.6,10,5
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6
7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,7
6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,3
7.4,0.2,1.66,2.1,0.022,34,113,0.99165,3.26,0.55,12.2,6
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
5.8,0.25,0.28,11.1,0.056,45,175,0.99755,3.42,0.43,9.5,5
6.9,0.18,0.38,8.1,0.049,44,176,0.9958,3.3,0.54,9.8,6
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5
6.7,0.11,0.34,8.8,0.043,41,113,0.9962,3.42,0.4,9.3,7
8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8
7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6
5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7
6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7
6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6
7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6
7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6
7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8
7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8
9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5
7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7
6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9
6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7
7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7
6.8,0.18,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6
8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4
6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5
8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5
6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5
6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5
6.2,0.35,0.29,7.3,0.044,56,244,0.9956,3.36,0.55,10,6
7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7
