fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,5
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7
9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5
7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4
4.6,0.445,0,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5
7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6
7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,6
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6
7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5
7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6
8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6
7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6
6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7
6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8
6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6
6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6
6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6
8.8,0.33,0.36,2.1,0.034,19,125,0.99166,2.96,0.98,12.7,6
6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5
7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6
7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6
6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5
6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6
6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6
6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5
6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6
6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5
8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6
6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6
6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5
6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5
8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8
7.3,0.16,0.35,1.5,0.036,29,108,0.99342,3.27,0.51,10.2,6
6.6,0.42,0.13,12.8,0.044,26,158,0.99772,3.24,0.47,9,5
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4
6.4,0.22,0.3,11.2,0.046,53,149,0.99479,3.21,0.34,10.8,5
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6
6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10,5
9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,6
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7
6.6,0.24,0.28,1.8,0.028,39,132,0.99182,3.34,0.46,11.4,5
6.3,0.34,0.36,4.9,0.035,31,185,0.9946,3.15,0.49,9.7,5
6.7,0.25,0.36,8.6,0.037,63,206,0.99553,3.18,0.5,9.6,5
7.7,0.3,0.26,18.95,0.053,36,174,0.99976,3.2,0.5,10.4,5
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.8,0.18,0.3,12.8,0.062,19,171,0.99808,3,0.52,9,7
6.9,0.13,0.28,13.3,0.05,47,132,0.99655,3.34,0.42,10.1,6
7.3,0.32,0.29,1.5,0.038,32,144,0.99296,3.2,0.55,10.8,5
6.4,0.22,0.34,1.4,0.023,56,115,0.98958,3.18,0.7,11.7,6
7.5,0.25,0.32,8.2,0.024,53,209,0.99563,3.12,0.46,10.8,6
4.5,0.19,0.21,0.95,0.033,89,159,0.99332,3.34,0.42,8,5
6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,7
7.2,0.24,0.27,11.4,0.034,40,174,0.99773,3.2,0.44,9,5
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5
9.2,0.14,0.37,1.1,0.034,36,84,0.99136,3.05,0.55,11.6,6
6.4,0.68,0.26,3.4,0.069,25,146,0.99347,3.18,0.4,9.3,5
7.3,0.22,0.31,2.3,0.018,45,80,0.98936,3.06,0.34,12.9,7
6.45,0.14,0.42,1.2,0.05,51,129,0.99116,3.27,0.69,11.1,7
6.5,0.15,0.44,12.6,0.052,65,158,0.99688,3.26,0.7,10.3,7
7.2,0.3,0.26,1.5,0.041,46,178,0.99154,3.19,0.56,11.3,6
7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6
6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7
5.9,0.34,0.31,2,0.03,38,142,0.98892,3.4,0.41,12.9,7
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5
7.2,0.19,0.27,11.2,0.061,46,149,0.99772,2.99,0.59,9.3,6
7.6,0.32,0.25,9.5,0.03,15,136,0.99367,3.1,0.44,12.1,6
7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7
6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
7.5,0.28,0.39,10.2,0.045,59,209,0.9972,3.16,0.63,9.6,6
6.5,0.23,0.36,16.3,0.038,43,133,0.99924,3.26,0.41,8.8,5
5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5
6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,6
5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6
7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,7
8.2,0.37,0.64,13.9,0.043,22,171,0.99873,2.99,0.8,9.3,5
7.5,0.18,0.31,6.5,0.029,53,160,0.99276,3.03,0.38,10.9,6
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6
6.3,0.2,0.19,12.3,0.048,54,145,0.99668,3.16,0.42,9.3,6
6.8,0.17,0.36,1.4,0.036,38,108,0.99006,3.19,0.66,12,6
7.1,0.43,0.3,6.6,0.025,15,138,0.99126,3.18,0.46,12.6,6
5.9,0.17,0.28,0.7,0.027,5,28,0.98985,3.13,0.32,10.6,5
5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2,5
7.7,0.18,0.35,5.8,0.055,25,144,0.99576,3.24,0.54,10.2,6
7.7,0.16,0.36,5.9,0.054,25,148,0.99578,3.25,0.54,10.2,6
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
7,0.36,0.32,10.05,0.045,37,131,0.99352,3.09,0.33,11.7,8
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
8,0.3,0.36,11,0.034,8,70,0.99354,3.05,0.41,12.2,6
6.4,0.24,0.25,20.2,0.083,35,157,0.99976,3.17,0.5,9.1,5
5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6
5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8
6.4,0.22,0.32,7.2,0.028,15,83,0.993,3.13,0.55,10.9,8
5.8,0.32,0.31,2.7,0.049,25,153,0.99067,3.44,0.73,12.2,7
6.7,0.16,0.34,1.6,0.026,27,109,0.9934,3.34,0.58,10.1,6
6.6,0.36,0.24,0.9,0.038,15,72,0.99066,3.23,0.39,11,5
6,0.21,0.34,2,0.042,63,123,0.99052,3.44,0.42,11.4,6
7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6
6.5,0.22,0.45,8,0.053,52,196,0.9959,3.23,0.48,9.1,6
6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,7
6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,5
6.6,0.17,0.3,1.1,0.031,13,73,0.99095,3.17,0.58,11,6
5.9,0.22,0.38,1.3,0.046,24,90,0.99232,3.2,0.47,10,6
6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,7
6.6,0.29,0.31,3.9,0.027,39,96,0.99035,3.24,0.6,12.6,8
5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6
6.5,0.15,0.55,5.9,0.045,75,162,0.99482,2.97,0.4,9.3,5
7.2,0.21,0.28,2.7,0.033,38,94,0.99075,2.99,0.43,11.8,7
7,0.24,0.3,6.7,0.039,37,125,0.99436,3.2,0.39,9.9,5
6.9,0.4,0.3,10.6,0.033,24,87,0.99265,3.15,0.45,12.8,6
6.2,0.16,0.34,1.7,0.038,85,153,0.9909,3.33,0.86,12,7
6.2,0.2,0.31,1,0.031,22,73,0.99035,3.24,0.52,11.3,6
6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,6
5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8
7.2,0.3,0.3,8.7,0.022,14,111,0.99576,3.11,0.61,10.6,5
6.8,0.26,0.48,6.2,0.049,55,182,0.99582,3.21,0.45,9.4,6
6,0.28,0.52,5,0.078,30,139,0.99494,3.1,0.36,9,6
7.2,0.2,0.22,1.6,0.044,17,101,0.99471,3.37,0.53,10,5
5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5
7.3,0.26,0.24,1.7,0.05,10,112,0.99286,3.11,0.43,9.9,5
6.8,0.32,0.39,9.6,0.026,34,124,0.99286,3.18,0.35,12.1,6
6.7,0.36,0.26,7.9,0.034,39,123,0.99119,2.99,0.3,12.2,7
6,0.26,0.32,3.8,0.029,48,180,0.99011,3.15,0.34,12,6
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7
6.3,0.37,0.28,6.3,0.034,45,152,0.9921,3.29,0.46,11.6,7
6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,6
6.9,0.25,0.33,1.2,0.035,35,158,0.99082,3.02,0.58,11.3,6
6.6,0.2,0.27,10.9,0.038,29,130,0.99496,3.11,0.44,10.5,7
5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,7
7.2,0.32,0.3,8.25,0.02,14,104,0.99362,2.99,0.44,11.4,6
5.9,0.34,0.3,3.8,0.035,57,135,0.99016,3.09,0.34,12,6
6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,4
8,0.74,0.21,4,0.05,24,133,0.99418,3.06,0.38,9.7,5
7,0.45,0.34,19.8,0.04,12,67,0.9976,3.07,0.38,11,6
6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,6
7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,6
6.9,0.24,0.37,6.1,0.027,38,112,0.99086,3.19,0.34,12.4,6
7.1,0.17,0.43,1.3,0.023,33,132,0.99067,3.11,0.56,11.7,6
5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7
8.5,0.19,0.48,1.1,0.026,23,58,0.99184,2.9,0.5,10.5,6
6.1,0.18,0.38,2.3,0.033,28,111,0.98962,3.16,0.49,12.4,6
8.5,0.23,0.4,9.9,0.036,24,88,0.9951,3.02,0.42,10.5,6
6.6,0.17,0.35,2.6,0.03,33,78,0.99146,3.22,0.72,11.3,6
9.7,0.24,0.49,4.9,0.032,3,18,0.99368,2.85,0.54,10,6
7.7,0.25,0.49,2.5,0.047,31,169,0.99252,3.07,0.57,10.6,6
7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,5
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6
6.7,0.21,0.37,2.5,0.034,35,89,0.9913,3.25,0.5,11,7
5.8,0.39,0.47,7.5,0.027,12,88,0.9907,3.38,0.45,14,6
7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,6
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5
7.8,0.3,0.36,4.6,0.024,20,198,0.99222,3.06,0.66,11.9,6
6.1,0.68,0.52,1.4,0.037,32,123,0.99022,3.24,0.45,12,6
5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7
7.6,0.17,0.46,0.9,0.036,63,147,0.99126,3.02,0.41,10.7,6
7.8,0.21,0.34,11.9,0.039,55,140,0.9959,3.02,0.31,10.3,6
6.5,0.24,0.38,1,0.027,31,90,0.98926,3.24,0.36,12.3,6
6.7,0.18,0.37,1.3,0.027,42,125,0.98939,3.24,0.37,12.8,7
7,0.17,0.36,6.4,0.055,42,123,0.99318,3.11,0.5,11,8
8.3,0.16,0.37,7.9,0.025,38,107,0.99306,2.93,0.37,11.9,6
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,7
6.4,0.22,0.38,9.1,0.044,35,127,0.99326,2.97,0.3,11,7
6.4,0.21,0.34,16.05,0.04,56,142,0.99678,3.11,0.38,10.6,5
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,6
7.1,0.14,0.33,1,0.104,20,54,0.99057,3.19,0.64,11.5,6
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9,5
6.2,0.35,0.31,2.6,0.036,37,92,0.98938,3.27,0.53,12.8,7
9,0.38,0.53,2.1,0.102,19,76,0.99001,2.93,0.57,12.9,5
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,6
6.6,0.33,0.4,2.65,0.041,35,86,0.98916,3.11,0.39,13.3,7
6.8,0.22,0.41,6.7,0.034,39,116,0.99245,3.18,0.46,11.5,6
7.7,0.27,0.49,3.8,0.037,46,139,0.99116,3.04,0.38,11.6,6
6.4,0.23,0.35,4.6,0.039,43,147,0.99216,3.18,0.4,11,7
7.1,0.26,0.37,5.5,0.025,31,105,0.99082,3.06,0.33,12.6,8
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
7.4,0.19,0.31,14.5,0.045,39,193,0.9986,3.1,0.5,9.2,6
4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,3
6.5,0.48,0.02,0.9,0.043,32,99,0.99226,3.14,0.47,9.8,4
6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2,8
7.4,0.16,0.32,1.4,0.065,23,140,0.99134,3.06,0.47,11.4,6
6.4,0.15,0.29,1.8,0.044,21,115,0.99166,3.1,0.38,10.2,5
6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
6.8,0.23,0.31,2.8,0.047,40,122,0.99126,3.06,0.64,10.9,7
6.8,0.21,0.31,2.9,0.046,40,121,0.9913,3.07,0.65,10.9,7
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5
6.3,0.22,0.34,5,0.032,36,93,0.99012,3.27,0.36,13.5,7
6.3,0.19,0.29,2,0.022,33,96,0.98902,3.04,0.54,12.8,7
6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,6
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
6.6,0.16,0.21,6.7,0.055,43,157,0.99384,3.15,0.52,10.8,6
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
5.9,0.2,0.28,12.8,0.038,29,132,0.99426,3.31,0.57,11.8,7
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6
6.1,0.28,0.27,4.7,0.03,56,140,0.99042,3.16,0.42,12.5,8
6.4,0.22,0.32,4.9,0.046,50,156,0.99316,3.38,0.55,11.2,6
8.8,0.39,0.35,1.8,0.096,22,80,0.99016,2.95,0.54,12.6,6
7.1,0.32,0.3,9.9,0.041,63,192,0.99642,3.12,0.49,10.2,6
6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,8
7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6
7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5
7.1,0.18,0.39,15.25,0.047,45,158,0.99946,3.34,0.77,9.1,6
7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,5
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,6
6,0.17,0.29,9.7,0.044,33,98,0.99536,3.12,0.36,9.2,6
5.8,0.32,0.2,2.6,0.027,17,123,0.98936,3.36,0.78,13.9,7
7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,6
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8
6.2,0.36,0.45,10.4,0.06,22,184,0.99711,3.31,0.56,9.8,6
6.1,0.36,0.26,8.15,0.035,14,88,0.99031,3.06,0.27,13,7
7.8,0.2,0.2,1.4,0.036,25,83,0.99088,3.03,0.46,11.7,6
7.7,0.43,1,19.95,0.032,42,164,0.99742,3.29,0.5,12,6
7.5,0.2,0.41,1.2,0.05,26,131,0.99133,3.19,0.52,11.1,5
6,0.23,0.15,9.7,0.048,101,207,0.99571,3.05,0.3,9.1,5
5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6
6.4,0.28,0.44,7.1,0.048,49,179,0.99528,3.15,0.48,9.2,5
6.6,0.22,0.3,14.7,0.045,50,136,0.99704,3.14,0.37,10.6,6
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5
8.1,0.26,0.27,4.3,0.03,43,123,0.99212,3.16,0.33,11.2,6
7.3,0.2,0.29,19.5,0.039,69,237,1.00037,3.1,0.48,9.2,6
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6
8,0.25,0.27,9.7,0.036,15,85,0.99406,2.99,0.36,11.2,6
6.9,0.26,0.27,4.2,0.031,20,80,0.99089,3.12,0.39,11.5,6
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6
6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,7
7.4,0.28,0.36,14.6,0.048,35,161,0.9968,3.14,0.56,10.6,5
6.7,0.22,0.22,1.2,0.038,5,124,0.99098,3.1,0.37,11.2,4
6.3,0.32,0.32,1.5,0.037,12,76,0.98993,3.3,0.46,12.3,6
